query_image_path,utm_east,utm_north,reference_1_path,reference_1_distance,reference_1_utm_east,reference_1_utm_north,reference_2_path,reference_2_distance,reference_2_utm_east,reference_2_utm_north,reference_3_path,reference_3_distance,reference_3_utm_east,reference_3_utm_north
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543030.55@4180984.98@10@S@37.775128@-122.51158@31760538811@@@@@@20161226@@.jpg,543030.55,4180984.98,C:\Users\danba\Documents\VPR_datasets\debug\@0544802.75@4178456.73@10@S@037.75232@-122.49141@COgBEwO71m7yQorw9K9uxA@@0@@@@201311@@.jpg,0.7515653669834137,544802.75,4178456.73,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7522306442260742,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7564482539892197,543256.96,4178906.7
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543102.49@4180346.93@10@S@37.76941@-122.510462@28026809684@@@@@@20160730@@.jpg,543102.49,4180346.93,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543102.49@4180346.93@10@S@37.76941@-122.510462@28643915855@@@@@@20160730@@.jpg,543102.49,4180346.93,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543339.73@4177706.64@10@S@37.745626@-122.508085@51701256013@@@@@@20211124@@.jpg,543339.73,4177706.64,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543454.25@4177257.89@10@S@37.741626@-122.506739@13887092084@@@@@@20140416@@.jpg,543454.25,4177257.89,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543502.15@4176846.41@10@S@37.738021@-122.506302@25906197391@@@@@@20160323@@.jpg,543502.15,4176846.41,C:\Users\danba\Documents\VPR_datasets\debug\@0545156.27@4178409.84@10@S@037.75188@-122.48740@S-DhwmruWgz1L-yJZYtR7A@@0@@@@201711@@.jpg,0.7758408039808273,545156.27,4178409.84,C:\Users\danba\Documents\VPR_datasets\debug\@0545104.55@4178200.97@10@S@037.75000@-122.48800@SMtE7Wy0Jm2KgW-efQW_Jg@@0@@@@201711@@.jpg,0.7865438610315323,545104.55,4178200.97,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.7977173328399658,544850.4,4178603.45
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543582.99@4177272.66@10@S@37.741729@-122.505478@8502583046@@@@@@20130224@@.jpg,543582.99,4177272.66,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.7741712182760239,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0544807.25@4178600.99@10@S@037.75362@-122.49135@tDpfu-mCCy4XG59b1ecbtQ@@0@@@@201804@@.jpg,0.7904832065105438,544807.25,4178600.99,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.7995107471942902,543256.96,4178906.7
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543583.15@4177257.69@10@S@37.741735@-122.505364@5608751958@@@@@@20110411@@.jpg,543583.15,4177257.69,C:\Users\danba\Documents\VPR_datasets\debug\@0544850.40@4178603.45@10@S@037.75364@-122.49086@lL5f5aUJAZ9KgGJd89jqkQ@@0@@@@201606@@.jpg,0.782745361328125,544850.4,4178603.45,C:\Users\danba\Documents\VPR_datasets\debug\@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,0.8027137070894241,543256.96,4178906.7,C:\Users\danba\Documents\VPR_datasets\debug\@0544807.25@4178600.99@10@S@037.75362@-122.49135@tDpfu-mCCy4XG59b1ecbtQ@@0@@@@201804@@.jpg,0.8041727244853973,544807.25,4178600.99
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543596.39@4181016.80@10@S@37.775361@-122.504923@27963036044@@@@@@20160727@@.jpg,543596.39,4181016.8,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543596.59@4177266.41@10@S@37.741744@-122.505131@51878672736@@@@@@20220213@@.jpg,543596.59,4177266.41,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543679.06@4176649.63@10@S@37.736055@-122.504227@10397376484@@@@@@20131021@@.jpg,543679.06,4176649.63,,,,,,,,,,,,
C:\U\sersdanba\D\ocuments\VPR_datasets\SF_XL\queries_night@0543682.74@4176671.39@10@S@37.736272@-122.504242@11647240873@@@@@@20131230@@.jpg,543682.74,4176671.39,,,,,,,,,,,,
