image_path,description
@0543256.96@4178906.70@10@S@037.75645@-122.50893@L-2IR8dif5bpYQIeb5o7oQ@@0@@@@201502@@.jpg,a red car parked on the street
@0543257.12@4178907.85@10@S@037.75646@-122.50894@L-2IR8dif5bpYQIeb5o7oQ@@1@@@@201502@@.jpg,a beautiful sunset over the ocean
@0543258.45@4178908.92@10@S@037.75647@-122.50895@L-2IR8dif5bpYQIeb5o7oQ@@2@@@@201502@@.jpg,a dog playing in the park
@0543259.78@4178909.63@10@S@037.75648@-122.50896@L-2IR8dif5bpYQIeb5o7oQ@@3@@@@201502@@.jpg,a modern building with glass windows
@0543260.91@4178910.74@10@S@037.75649@-122.50897@L-2IR8dif5bpYQIeb5o7oQ@@4@@@@201502@@.jpg,a person reading a book in a cafe
543261.15_4178911.85_image001.jpg,a bicycle on a bike path
543262.38_4178912.96_image002.jpg,a tree with autumn leaves
543263.61_4178913.07_image003.jpg,a bus stop with people waiting
543264.84_4178914.18_image004.jpg,a parking lot with multiple cars
543265.97_4178915.29_image005.jpg,a sidewalk with pedestrians



